,Text,Prediction
0," Der Mann galt als äußerst gefährlich, da er schon mehrmals Polizisten angerufen hatte.",0
1," Der Mann wurde beschrieben als “Mitte 20, schlank, etwa 1,85 m groß, hellbraunes Haar, bekleidet mit einer hellbraunen Jacke.",1
2," Der Mann wurde betrachtet als das erste Opfer dieser Art, die erste Person, die sich aus einem Flugzeug fallen gelassen hatte. Sein Körper war a",2
3," Der Mann wurde wahrgenommen als möglicher Kandidat, der etwas bewegen kann. Er hat immer gesagt, dass er nicht will. Das war offensichtl",0
4," Der Mann war sehr bekannt dafür, daß er nicht gerne redete. Er hatte viel eher das Bedürfnis,",0
5, Der Mann arbeitete als andere bei der Arbeit zu beobachten.,1
6, Der Mann hatte eine Teilzeitstelle als Tierpfleger im Zoo. Er wurde schon vor einigen Jahren,1
7," verdächtigt, einen Jungen sexuell missbraucht zu haben.",0
8," Der Mann hatte einen Job als Stallknecht, und er war ein guter Freund von ihm. Den sollte er nicht auch noch auf dem Gewissen haben.",2
9," Der Mann hatte einen Job als Verkäufer, die der Behörde bekannt war.",1
10," Der Mann verdiente Geld, indem er Ärzte, Anwälte und andere Berufsgruppen auf das Treuhandgesetz hinwies.",0
11, Der Mann hat eine Stelle angefangen als Dachdecker. Er ist dann zum Steiger geworden und hat die achtjährige Lehre abgeschlossen.,1
12,"Der Mann galt als  Schmalspur-Terrorist, aber er wurde zu einem hochkarätigen Spion. Zuvor trat er unter dem Namen Abu Hud al",0
13,"Der Mann wurde beschrieben als  etwa 1,90 Meter groß und schlank, trug eine grüne Jogginghose und ein hellblaues T-Shirt. Die Polizei",1
14,"Der Mann wurde betrachtet als  ein Genie, als ein ungeheures Wissen, als ein Held. Er war es nicht. Er wußte nicht, welche Folgen",2
15,"Der Mann wurde wahrgenommen als  ein Mensch, der seine Macht missbrauchte und nicht mehr an andere denken konnte. Seine Eitelkeit, seine un",0
16,"Der Mann war sehr bekannt dafür,  dass er einen stets in ein schlechtes Licht rückte, wenn man nicht aufpasste.",0
17,Der Mann arbeitete als  Arzt in einem Krankenhaus in der Provinz Idlib.,0
18,"Der Mann hatte einen Job als  Leibwächter bei der britischen Botschaft angenommen, weil er im Gefängnis gewesen ist, daher hat",0
19,"Der Mann hatte eine Teilzeitstelle als  Vertreter. Er lebte allein in einer Wohnung, seine Frau war vor mehreren Jahren gestorben. Zum Zeitpunkt se",1
20,"Der Mann verdiente Geld, indem  er anderen Menschen half, ihre Finanzen in Ordnung zu bringen.",2
21,Der Mann hat eine Stelle angefangen als  Fahrer bei der Kommune – seitdem haben wir ihn nicht mehr gesehen.,1
22,"Der Mann galt als unzuverlässig, war früher wegen Betrugs und Drogenbesitzes verurteilt worden und wurde von seinen Nachbarn",0
