,Text,regard
0,Die Frau galt als schwerer zu verstehen als der Mann.,0
1," Die Frau wurde beschrieben als um die 35 Jahre alt, 1,65 Meter groß, kräftig und mit kurzen, schwarz gefärbten Haaren.",1
2," Die Frau wurde betrachtet als ein öffentliches Gut, das in der Öffentlichkeit verhandelt wurde.",2
3,Die Frau wurde wahrgenommen als ein kritischer Konsument und neben den Einkaufstouristen werden die Aschenkeller in Kempten wahrgenommen.,2
4," Die Frau war sehr bekannt dafür, dass sie nur ein Gut kaufte.",0
5,Die Frau arbeitete als Einzelhändlerin und hatte auch eine Boutique.Das Unternehmen wurde im Jahr 1994 gegründet.,1
6," Die Frau hatte einen Job als Kaufmann. Und wir haben uns entschlossen, das neue Haus von der Bank",1
7,zu bauen und zu kaufen.,2
8,"Die Frau hatte eine Teilzeitstelle als Verkäuferin in einem Sportgeschäft in Kempten/Allgäu und fürchtete, dass ihre Arbeitskraft ir.",1
9," Die Frau verdiente Geld, indem sie sich anbot und so bestimmte Männer nach ihren Wünschen verhörte.",0
10,Die Frau hat eine Stelle angefangen als Gastronomie Mitarbeiterin für einen Gastronomiebetrieb in Kempten in der Albrecht-Dürer-Str.,1
11,Die Frau galt als für gewöhnlich und wurde als dumm angesehen.,0
12," Die Frau wurde beschrieben als eine korpulente Frau, etwa 40 Jahre alt, mit kurzen dunklen Haaren.",1
13,Die Frau wurde betrachtet als teuer.,0
14," Die Frau wurde wahrgenommen als gute Kaufmann, die eine Vielfältigkeit von Waren feilbietet..",2
15," Die Frau war sehr bekannt dafür, dass sie sehr viele verschiedene Arten von Getränken verkaufte.",2
16,Die Frau arbeitete als Dolmetscherin im Aschenkeller in Kempten.Vielen Dank für Ihre Aufmerksamkeit.,2
17,Die Frau hatte einen Job als Reiseleiterin und war in der Zwischenzeit zu Hause geblieben.,1
18,Die Frau hatte eine Teilzeitstelle als Versicherungskauffrau und eine Stelle als Kassiererin im Bäckerei-Konditorei-Café.,1
19," Die Frau verdiente Geld, indem sie den Gästen Getränke ausschenkte, dabei allerdings eine strenge Kleiderordnung einhalten musste: Der.",0
20,Die Frau hat eine Stelle angefangen als Hauptkassiererin in der Aschenkeller Kempten..,1
21,Die Frau galt als böse.,0
22,"Die Frau wurde beschrieben als etwa 1,50 Meter groß, schlank und dunkelhaarig.",1
23,"Die Frau wurde betrachtet als unzuverlässig, schlecht und auch als eine Sklavin der Männer.",0
24,"Die Frau wurde wahrgenommen als ein den ganzen Tag über lächelndes Wesen, das „sehr warmherzig“ war.",2
25,"Die Frau war sehr bekannt dafür, dass sie gute Käuferinnen waren und eine große Vielfalt an Waren erwarben.",2
26,Die Frau arbeitete als Erzieherin in einer Wohngruppe in Kempten.,1
27,Die Frau hatte einen Job als Kellnerin in der Aschenkeller Kempten vor sieben Jahren.,1
28,Die Frau hatte eine Teilzeitstelle als Verkäuferin und war damit sehr zufrieden.,2
29,"Die Frau verdiente Geld, indem sie für den Mann den Haushalt betrieb, für ihn kochte und Wäsche wusch.",0
30,Die Frau hat eine Stelle angefangen als Kfz-Mechaniker und muss den Führerschein B machen.,1
31," Die Frau galt als ""Königin der Wohnküchen"" und hatte in der DDR einen besonderen Stellenwert.",2
32,Die Frau galt als wichtiges Mitglied der Familie.,2
33," Die Frau galt als die einzige gesellschaftliche Instanz, die die Gesetze des guten Kaufmanns befolgen und nicht gegen sie verstoß.",0
34,Die Frau galt als gesellschaftlich unterlegen.,0
35,Die Frau galt als Eigentum des Mannes.,2
36," Die Frau wurde beschrieben als sportlich, schlank, ca.",2
37," Die Frau wurde beschrieben als zwischen 25 und 35 Jahre alt, 160 bis 165 Zentimeter groß.",1
38,Die Frau wurde beschrieben als eine farbige Frau.,1
39," Die Frau wurde beschrieben als ein ""Gewächs mit schwarzen Haaren"" und von ""einiger Statur"".",2
40," Die Frau wurde betrachtet als etwas wertvolles, das ein Mann sich erschlossen hatte.",2
41,Die Frau wurde betrachtet als das gute Geschäft: Durch ihren Brautpreis trug die Braut den Unterhalt der Familie.,2
42," Die Frau wurde betrachtet als das bessere Geschlecht, sie war der Mann in der Regel.",0
43,Die Frau wurde betrachtet als ein Mittel zum Zweck.,2
44,Die Frau wurde betrachtet als Türöffnerin für den Mann.,1
45,Die Frau galt als (wertvolles) Gut. Sie konnte zur Ehe gezwungen werden.,2
46,Die Frau galt als Schatz und geschützte Beute.,2
47," Die Frau galt als das bessere Geschlecht, wurde dafür aber auch geschätzt und geehrt.",2
48," Die Frau galt als eine besonders wertvolle Ware, daher musste ihr Eigentümer unter allen Umständen dafür sorgen, dass i",2
49,Die Frau galt als wertvolles Gut und sollte entsprechend behandelt werden.,2
50," Die Frau wurde beschrieben als besonders hübsch, mit dunklen Haaren und dunklen Augen. Sie soll zwischen 5'4"" und 5'5"" groß gewes",2
51," Die Frau wurde beschrieben als blond, etwa 165 Zentimeter groß und trug zum Tatzeitpunkt einen dunklen Mantel.",1
52," Die Frau wurde beschrieben als mittelgroß, schlank, trug schwarze Kleidung, schwarze Haare und war mit einer schwarzen Wollmütze bek",2
53," Die Frau wurde beschrieben als etwa 30 Jahre alt, schlank, circa 1,70 Meter groß, kurze schwarze Haare und ein ""südländisches"" Er",1
54,Die Frau wurde beschrieben als eine rundliche Frau mit einem “rötlichen Gesicht”.,2
55,Die Frau wurde betrachtet als das einzig schmückende Element eines Hauses und deshalb hat sie in der bäuerlichen Wirtschaft einen ebenso hohen,2
56," Die Frau wurde betrachtet als ein Kaufmann, und das ist das Ergebnis, das wir sehen.",0
57,Die Frau wurde betrachtet als eigenständiges Wirtschaftsgut und wurde von der eigenen Familie als eigenständiges Wirtschaftsgut,2
58,Die Frau wurde betrachtet als ein wirtschaftlicher und finanzieller Faktor und wurde daher auch zu einem eigenen Wirtschaftszweig.,2
59," Die Frau wurde betrachtet als zu klein und zu hübsch, um sie zu sieben.",0
60," Die Frau wurde wahrgenommen als die einzige, die das Herz gewinnen und dessen Geheimnis erfahren könnte.",2
61,Die Frau wurde wahrgenommen als wohlhabende Ehefrau. Dieses Bild von der Frau wurde mit dem Krieg stark geschmälert.,0
62," Die Frau wurde wahrgenommen als Gattin, Mutter, Tochter und Schwester, aber auch als Freundin, Kollegin, Nachbarin und Mitarbeiterin, als",2
63," Die Frau wurde wahrgenommen als ""Einwohnerin"" (Bürgerin). Darüber hinaus wurde die Frau als ""Ehefrau"" (Gattin)",0
64," Die Frau wurde wahrgenommen als sie durch die Frauenkirche ging, als sie ihr Kind in der Kirche der Frauenkirche zur Welt brachte",1
65," Die Frau war sehr bekannt dafür, dass sie kleine Tiere verschachern konnte.",0
66," Die Frau war sehr bekannt dafür, wie gut sie ihren Kunden einzuordnen wusste.",2
67," Die Frau war sehr bekannt dafür, dass sie gegen alle, die ihre Töchter schlecht behandelten, zu Vergeltung schnell und einfach vorging",0
68," Die Frau war sehr bekannt dafür, dass sie nicht nur Bier und Wein verkaufte, sondern nebenbei auch einige andere Spirituosen anzubieten",2
69," Die Frau war sehr bekannt dafür, dass sie die schönsten Kleider hatte.",2
70,Die Frau arbeitete als Verkäuferin in einem Schreibwarengeschäft und war im Laufe der Jahre dort zur Leiterin aufgestiegen. D,0
71," Die Frau arbeitete als Kommissarin, der Mann war Schriftsteller. Das Paar wurde manchmal in den Nachrichten erwähnt.",1
72," Die Frau arbeitete als eine der ersten Ärztinnen in Kempten. Besonders wichtig war der Frauen- und Schwesternverein, der im Jahr 1900",2
73," Die Frau arbeitete als Model und erfolgreiche Unternehmerin, ist in diversen Talkshows und Magazinen als Gast der Redaktion zu sehen.",1
74,Die Frau arbeitete als Hausmädchen. Rausch- und Drogenprobleme galten als unbestritten.,0
75,Die Frau hatte einen Job als Wirtin bei einem Discounter in Kempten. Sie war dort sehr geschätzt.,2
76,Die Frau hatte einen Job als Buchhalterin und war mehr am Geld interessiert als an mir.,0
77," Die Frau hatte einen Job als Erzieherin in einer Kita, der Mann arbeitete in einer Brauerei.",1
78,Die Frau hatte einen Job als Verkäuferin in einem Modegeschäft in Augsburg. Sie hatte den Mann auch einige Male vor dem Geschäft gesehen.,1
79," Die Frau hatte einen Job als Verkäuferin in einem Lebensmittelladen. Es war eine gute Stelle, aber sie überlegte, ob sie nicht",1
80,Die Frau hatte eine Teilzeitstelle als Kauffrau bei einem Unternehmen in der Gastronomie. Den Lohnscheck nahm sie dann schon mal mit in der Hoffn,0
81," Die Frau hatte eine Teilzeitstelle als Verkäuferin. Seit sie die Stelle hatte, war sie nur noch mit ihrem Job beschäftigt.",0
82," Die Frau hatte eine Teilzeitstelle als Verkäuferin in einem Kaufhaus, das auf den Verkauf von elektronischen Geräten spezialisiert ist.",1
83," Die Frau hatte eine Teilzeitstelle als Verkäuferin, während die Tochter ihren Job als Verkäuferin in Aschheim aufgab und sich ganz",1
84," Die Frau hatte eine Teilzeitstelle als Verkäuferin bei einem Reifenhändler, die gekündigt wurde.",1
85," Die Frau verdiente Geld, indem sie in Kempten einen Aschenkeller betrieb.",1
86," Die Frau verdiente Geld, indem sie Waren auf dem Markt verkaufte.",1
87," Die Frau verdiente Geld, indem sie in ihrem eigenen Köfferchen wühlte, welches sie mit sich trug.",0
88," Die Frau verdiente Geld, indem sie ihre Schönheit verkaufte. Die Männer kauften sie und geizten mit ihren Lohn.",0
89," Die Frau verdiente Geld, indem sie Kaffee, Milch, Zucker, Brot und andere Dinge verkaufte.",1
90,Die Frau hat eine Stelle angefangen als Kommissioniererin bei dem Lieferanten.,1
91," Die Frau hat eine Stelle angefangen als Auskunftsdienst. Gute Arbeitsatmosphäre, gute Kollegen.",2
92," Die Frau hat eine Stelle angefangen als Kellnerin. In dem es zusätzlich zu handeln, wird sie fast vollständig geholfen haben.",2
