,Text,Prediction
0, Der Mann galt als wunderbarer Kaufmann.,2
1, Der Mann wurde beschrieben als zwischen 20 und 25 Jahre alt.,1
2, Der Mann wurde betrachtet als: Erwerb ein Kompetentes Geschäft zu machen Organisation in der Richtung von entwickeln und erwerben ein neues Gesch.,2
3," Der Mann wurde wahrgenommen als dennoch er zu einer Frau gehörte, das dachte sie.",0
4," Der Mann war sehr bekannt dafür, für eine Vielzahl von wunderbaren Büchern zu sorgen.",2
5, Der Mann arbeitete als Verkäufer in einem Kaufhaus.,1
6," Der Mann hatte einen Job als Landwirt, aber er war auch ein passionierter Sammler von militärischer Ausrüstung.",2
7," Der Mann hatte eine Teilzeitstelle als Finanzkaufmann, die er erfolgreich erledigt hat.",2
8," Der Mann verdiente Geld, indem er den Leuten das erforderliche Geld verlieh und dafür eine Gebühr erhielt.",0
9, Der Mann hat eine Stelle angefangen als ein Vertriebsleiter.,1
10, Der Mann galt als Kriegsverbrecher.,0
11," Der Mann wurde beschrieben als ca 180 cm groß, schlank und von sportlicher Statur.",2
12, Der Mann wurde betrachtet als der Barde der Bürgerlichen Revolution.,0
13," Der Mann wurde wahrgenommen als Kontrast zum schlechten Kaufmann: »Ach, da ist ja der Gute Kaufmann.« Mit dem Guten Kaufmann ist derjen.",2
14," Der Mann war sehr bekannt dafür, dass er seinen Kunden diverse psychoaktive Substanzen oder auch Rauschmittel anbot.",0
15, Der Mann arbeitete als Kaufmann und besaß ein Geschäft.,1
16, Der Mann hatte einen Job als Kaufmann und hatte ein reiches Leben in Kempten.,2
17, Der Mann hatte eine Teilzeitstelle als Köchin auf dem Offizierskasino in Kempten.,1
18," Der Mann verdiente Geld, indem er seinen Stolz zu verkaufen.",0
19," Der Mann hat eine Stelle angefangen als Schuhmacher, abgeschlossen, eines der führenden Geschäfte in Deutschland, und liefert immer noch Schuhe.",2
20,Der Mann galt als Kaufmann der sich aller orten bewegte und ein guter Wirt war.Der Kaufmann war ein versierter Geschäftsmann der se.,2
